cluster,keyword,avg_monthly_searches,competition,three_month_change,yoy_change,top_page_bid_low_gbp,top_page_bid_high_gbp,account_status
male_early,hairline loss treatment,12100,High,-18%,-18%,2.70,11.92,In Account
male_early,receding hairline,9900,Medium,-18%,-45%,2.84,8.92,
male_early,thinning hairline,5400,High,0%,-33%,1.26,6.00,
male_early,thinning hair men,2900,High,-21%,-47%,2.26,9.06,
male_early,maturing hairline,2900,Low,-17%,-33%,2.49,10.40,
male_early,crown hair loss,1900,High,-16%,-45%,2.79,9.16,
male_early,how to stop hair loss,1600,High,0%,-63%,1.14,4.67,In Account
female_diffuse,telogen effluvium,14800,Low,-18%,-18%,0.91,5.70,
female_diffuse,hair loss in women,5400,High,0%,-56%,0.84,4.10,In Account
female_diffuse,female hair loss treatment,4400,High,-17%,-45%,1.28,6.28,In Account
female_diffuse,thinning hair women,2900,High,0%,-34%,0.86,3.66,
female_diffuse,menopause hair loss,2900,High,-19%,-55%,1.10,3.32,
female_diffuse,hair shedding women,2400,High,-19%,-32%,0.94,4.98,
stress_telogen,hair loss from stress,1900,Medium,0%,-32%,1.47,5.20,
stress_telogen,can stress cause hair loss,1600,Low,-23%,-47%,0.47,2.70,
stress_telogen,diffuse thinning,1000,Low,0%,-38%,3.03,11.93,
stress_telogen,telogen effluvium treatment,880,High,0%,-18%,1.39,4.79,
stress_telogen,diffuse hair loss,720,Low,-18%,-33%,2.51,11.73,
treatment,prp hair treatment,8100,High,-18%,-33%,2.72,6.05,
treatment,trichologist,8100,Medium,0%,0%,1.33,4.71,In Account
treatment,trichologist near me,2400,High,-21%,-21%,0.93,4.28,In Account
treatment,exosomes for hair,1600,High,-16%,+60%,1.04,3.52,In Account
treatment,hair loss clinic,1000,Medium,-12%,-12%,3.49,18.76,
treatment,dermatologist for hair loss,1000,Medium,+14%,0%,1.83,7.71,In Account
treatment,hair clinic near me,720,High,0%,-18%,2.37,10.54,In Account
treatment,hair loss clinic near me,720,High,0%,-18%,2.09,8.80,In Account
treatment,exosome hair treatment,590,High,-18%,+51%,1.19,4.27,
treatment,hair specialist near me,590,High,+23%,-19%,1.60,7.20,In Account
treatment,hair loss specialist,390,High,+23%,-46%,2.16,8.43,In Account
treatment,exosomes for hair loss,390,High,-33%,-33%,1.24,4.03,In Account
